,name,address,state,latitude,longitude,rating,rating_users
0,Café & Cocina,"Blvd. Campestre 807-Local 4, Jardines del Moral, León de los Aldama","48X5+R5 Leon, Guanajuato",21.149591,-101.692113,4.8,505
1,Cielito querido café,"Valle del Campestre, Leon","5843+89 Leon, Guanajuato",21.1558143,-101.6965973,5.0,3
2,Bôulan,"Av. León 409, Jardines del Moral, León de los Aldama","48X4+47 Leon, Guanajuato",21.147867,-101.6942762,4.6,3482
3,CAFÉ DEL VALLE,"Av. Panorama 1109, Valle del Campestre, León de los Aldama","5834+F5 Leon, Guanajuato",21.1536864,-101.6945415,4.4,221
4,The Nogal Coffee House,"Calle Circunvalación Pte. 848, Jardines del Moral, León de los Aldama","5824+7P Leon, Guanajuato",21.1507457,-101.6931687,4.3,58
5,Atl Café,"Av. Panorama 907, Valle del Campestre, León de los Aldama","5823+Q8 Leon, Guanajuato",21.1519199,-101.6966327,4.8,56
6,StarLight Café - Plaza Mayor®,"Blvd. Juan Alonso de Torres Pte. 2002-Local 2090, Centro Comercial, León de los Aldama","5853+2Q Leon, Guanajuato",21.1575825,-101.6955095,4.5,1250
7,CATA CAFÉ LEÓN,"Valle del Mezquital 222, Valle del Campestre, León de los Aldama","5844+3F Leon, Guanajuato",21.1551846,-101.6938653,4.7,13
8,LA COFFEETERIA BISTRO,"C. Juan Nepomuceno Herrera 313, Valle del Campestre, León de los Aldama","5845+C8 Leon, Guanajuato",21.1561075,-101.6917126,4.7,500
9,Chantty Café,"Av. Panorama 1405, Valle del Campestre, 340","5834+RR Leon, Guanajuato",21.1546151,-101.6929659,4.2,425
10,Manai Wellness Kitchen,"C. Juan Nepomuceno Herrera 802, Valle del Campestre, León de los Aldama","5845+3Q Leon, Guanajuato",21.1551416,-101.6905889,4.4,526
11,Le Café de Marie,"Av. Panorama 616, Panorama, León de los Aldama","5823+C2 Leon, Guanajuato",21.1510751,-101.6974671,4.7,51
12,Oh là latte,"Calle Circunvalación Pte. 1113, Panorama, León de los Aldama","48X3+9J Leon, Guanajuato",21.148455,-101.6959146,4.5,48
13,Corazón de Pan,"Av. Panorama 1002 b, Valle del Campestre, León de los Aldama","5834+48 Leon, Guanajuato",21.1527721,-101.6941849,4.4,1482
14,Café Ducasse,"Blvd. Campestre 1207, Jardines del Moral, León de los Aldama","5824+G5 Leon, Guanajuato",21.1512999,-101.6945486,4.3,306
15,The Italian Coffee Company,"Paseo del Juncal No. 216, Plaza Palmas Col, Villa del Juncal, León de los Aldama","5836+9M Leon, Guanajuato",21.153419,-101.6883576,4.2,492
16,Coffee Bar 500 Noches León,"Av Paseo del Juncal 215, Villa del Juncal, León de los Aldama","5836+7R Leon, Guanajuato",21.1531552,-101.6880002,4.6,3621
17,Mombi Cafe,"La Laja 212, Jardines del Moral, León de los Aldama","48X4+P7 Leon, Guanajuato",21.1493545,-101.6942597,4.6,271
18,CAFETO MIX,"Topógrafos 215 B, Panorama, León de los Aldama","572X+MX Leon, Guanajuato",21.1517104,-101.7001012,5.0,31
19,AMENO CAFE,"Av. Guanajuato 136a, Jardines del Moral, León de los Aldama","48W7+R3 Leon, Guanajuato",21.1470995,-101.6873577,4.7,464
20,Cinema Stereo Resto-Bar,"Av Paseo del Moral 1030-local 14-A, Villa del Juncal, León de los Aldama","5836+CP Leon, Guanajuato",21.1535323,-101.6882519,4.6,171
21,AROMA & SABOR,"Av Paseo del Moral 704, Villas del Moral, León de los Aldama","5826+Q9 Leon, Guanajuato",21.1518771,-101.689078,4.8,95
22,Krispy Kreme,"Blvd. Juan Alonso de Torres Pte. 1201, Villa del Juncal, León de los Aldama","5837+RQ Leon, Guanajuato",21.1545647,-101.6857128,4.5,4615
23,Salú Saborcito Mío,"Calle Circunvalación Pte. 702, Valle del Campestre, León de los Aldama","5836+58 Leon, Guanajuato",21.1528758,-101.6892285,5.0,12
24,Cafezzito Resto,"Manuel J. Clouthier #201-local 6, Punta Campestre, León de los Aldama","5864+RM Leon, Guanajuato",21.162076,-101.6933231,4.4,1160
25,Kikkafe,"Manantial 612, Villas del Moral, León de los Aldama","5826+C9 Leon, Guanajuato",21.1510256,-101.6891194,4.6,460
26,Ottimo Café,"C. Valle de Señora 240, Valle del Campestre, León de los Aldama","5836+64 Leon, Guanajuato",21.1531196,-101.6896632,4.5,33
27,DOLCE PALADAR CAFETERÍA,"Blvd. Campestre 1002, Valle del Campestre, León de los Aldama","5824+6H Leon, Guanajuato",21.1506199,-101.6935057,5.0,12
28,Café La Flor De Córdoba,"Plaza Mayor: Avenida Juan Alonso de Torres 2002 M20-TC, Valle del Campestre, León de los Aldama","5853+2Q Leon, Guanajuato",21.1575825,-101.6955095,4.4,192
